iter	Passed	Remaining
0	72	72026
1	99	49443
2	128	42696
3	162	40435
4	198	39560
5	231	38311
6	257	36474
7	268	33245
8	285	31424
9	309	30598
10	331	29808
11	354	29187
12	374	28464
13	395	27827
14	417	27428
15	442	27233
16	467	27010
17	501	27337
18	524	27071
19	544	26700
20	569	26533
21	596	26502
22	628	26714
23	658	26795
24	686	26776
25	709	26593
26	731	26347
27	755	26241
28	777	26041
29	799	25858
30	820	25649
31	841	25442
32	859	25182
33	878	24951
34	897	24740
35	916	24540
36	943	24548
37	963	24386
38	984	24250
39	1010	24261
40	1034	24190
41	1058	24136
42	1079	24020
43	1103	23980
44	1131	24010
45	1157	24003
46	1184	24026
47	1212	24050
48	1240	24075
49	1264	24026
50	1283	23891
51	1302	23746
52	1324	23663
53	1346	23581
54	1368	23507
55	1395	23517
56	1417	23452
57	1438	23360
58	1463	23339
59	1484	23261
60	1506	23188
61	1527	23113
62	1548	23034
63	1572	22994
64	1598	22987
65	1622	22963
66	1647	22936
67	1673	22935
68	1694	22860
69	1718	22836
70	1745	22837
71	1809	23326
72	1843	23414
73	1870	23404
74	1895	23375
75	1916	23306
76	1938	23242
77	1965	23235
78	1989	23193
79	2013	23157
80	2039	23136
81	2060	23070
82	2084	23031
83	2110	23009
84	2133	22962
85	2160	22965
86	2185	22931
87	2211	22918
88	2235	22877
89	2259	22847
90	2297	22953
91	2332	23020
92	2359	23012
93	2384	22985
94	2414	23002
95	2440	22976
96	2466	22961
97	2490	22918
98	2511	22853
99	2537	22840
100	2562	22811
101	2585	22765
102	2608	22717
103	2631	22672
104	2656	22644
105	2681	22614
106	2708	22606
107	2730	22550
108	2754	22519
109	2779	22489
110	2806	22480
111	2831	22447
112	2856	22418
113	2878	22373
114	2900	22322
115	2925	22292
116	2948	22250
117	2976	22245
118	3002	22225
119	3028	22209
120	3057	22207
121	3079	22160
122	3109	22172
123	3134	22143
124	3157	22104
125	3182	22073
126	3203	22020
127	3224	21964
128	3246	21919
129	3273	21909
130	3298	21877
131	3321	21844
132	3344	21803
133	3368	21769
134	3390	21724
135	3411	21674
136	3435	21640
137	3456	21588
138	3483	21576
139	3505	21535
140	3525	21475
141	3550	21453
142	3574	21422
143	3600	21403
144	3626	21385
145	3646	21328
146	3673	21314
147	3701	21308
148	3731	21310
149	3761	21312
150	3790	21310
151	3817	21297
152	3841	21266
153	3902	21440
154	3942	21490
155	3981	21540
156	4015	21562
157	4047	21568
158	4078	21573
159	4107	21566
160	4135	21550
161	4162	21530
162	4192	21530
163	4219	21510
164	4245	21484
165	4271	21458
166	4295	21425
167	4325	21419
168	4356	21421
169	4386	21417
170	4416	21409
171	4452	21433
172	4477	21405
173	4505	21388
174	4537	21390
175	4569	21393
176	4600	21390
177	4625	21358
178	4649	21324
179	4676	21302
180	4705	21293
181	4731	21267
182	4757	21241
183	4783	21214
184	4808	21184
185	4835	21161
186	4866	21156
187	4897	21155
188	4920	21114
189	4946	21088
190	4970	21054
191	4995	21024
192	5022	21001
193	5051	20988
194	5075	20953
195	5097	20910
196	5120	20870
197	5149	20859
198	5174	20828
199	5206	20826
200	5236	20815
201	5264	20796
202	5290	20769
203	5314	20737
204	5339	20707
205	5363	20673
206	5390	20649
207	5418	20631
208	5446	20615
209	5493	20667
210	5523	20654
211	5546	20616
212	5572	20588
213	5599	20566
214	5625	20540
215	5649	20504
216	5673	20471
217	5695	20431
218	5722	20408
219	5749	20384
220	5776	20362
221	5799	20323
222	5823	20289
223	5848	20261
224	5875	20238
225	5907	20231
226	5940	20227
227	6004	20329
228	6052	20378
229	6078	20350
230	6103	20319
231	6131	20297
232	6156	20267
233	6179	20230
234	6201	20186
235	6225	20154
236	6252	20128
237	6276	20095
